Temp9am,Temp3pm,Rainfall
14.4,23.6,0.0
17.5,25.7,3.6
15.4,20.2,3.6
13.5,14.1,39.8
11.1,15.4,2.8
10.9,14.8,0.0
12.4,17.3,0.2
12.1,15.5,0.0
14.1,18.9,0.0
13.3,21.7,16.2
14.6,24.0,0.0
16.8,26.0,0.2
17.0,27.1,0.0
19.7,30.7,0.0
18.7,30.4,0.0
19.1,30.7,0.0
20.2,29.8,0.0
20.1,28.6,1.2
20.2,31.2,0.6
22.8,32.0,0.0
22.2,32.8,0.0
16.5,18.3,0.4
14.0,16.8,25.8
17.8,22.8,0.4
16.8,27.3,0.0
19.8,25.1,0.0
16.5,21.2,0.2
18.8,26.7,0.0
18.9,19.7,0.0
17.3,23.2,0.4
17.0,16.3,22.6
16.7,25.2,4.2
20.5,19.9,0.2
18.8,25.1,6.6
18.6,20.5,0.0
18.6,24.5,0.0
21.5,22.6,0.0
18.0,26.3,4.0
20.6,28.6,0.0
19.3,22.9,0.0
13.8,16.4,0.6
15.7,19.4,0.0
15.8,19.2,0.0
15.8,25.0,0.0
17.4,29.1,0.0
16.6,20.0,5.4
15.3,20.8,1.4
15.3,19.8,0.0
16.1,20.0,0.0
15.3,20.4,3.4
21.0,28.2,6.4
20.6,19.6,11.0
14.9,18.8,17.4
15.0,22.5,0.0
12.4,21.0,3.4
15.3,23.9,0.0
19.8,19.0,0.0
18.3,27.4,14.4
21.5,30.3,0.0
23.4,34.3,0.0
21.9,32.2,0.0
21.9,31.8,0.0
23.0,33.6,0.0
19.2,22.3,0.0
20.3,23.9,0.0
18.6,26.8,0.0
18.9,31.9,0.0
20.8,31.3,0.0
18.1,28.0,0.0
19.3,27.9,0.0
21.3,32.2,0.0
24.7,34.5,0.0
23.6,34.0,0.0
23.0,31.8,2.0
17.0,21.6,0.0
18.0,31.7,0.0
24.5,23.5,0.0
17.1,23.9,4.8
17.8,19.4,0.0
18.0,18.6,18.8
19.4,21.9,12.2
17.4,18.6,0.8
14.7,22.2,0.0
16.2,22.7,0.0
17.0,26.3,0.0
17.6,24.6,0.0
18.3,28.3,0.0
19.7,30.7,0.0
22.4,32.1,0.0
19.8,32.3,0.0
22.2,33.1,0.0
21.4,26.3,5.2
16.5,22.9,2.2
19.1,27.0,0.0
21.7,29.1,0.0
18.5,22.1,1.8
18.4,21.5,9.0
18.7,26.5,1.0
17.9,20.3,0.0
13.6,18.7,16.2
13.8,18.7,0.0
14.0,21.4,0.0
14.6,24.2,0.0
15.8,22.6,4.4
16.3,16.8,11.0
13.7,22.0,0.2
15.0,24.3,0.0
15.3,24.7,0.0
15.4,22.5,0.0
17.2,24.1,0.0
16.9,26.1,0.0
17.4,28.6,0.0
17.5,24.0,1.8
16.5,27.4,6.6
15.7,24.5,0.0
15.1,22.9,0.0
15.8,24.3,0.0
17.4,27.0,0.0
17.6,26.8,0.0
15.7,15.3,0.0
10.6,16.8,10.4
11.7,20.0,0.0
12.2,22.1,0.0
13.8,25.5,0.0
15.6,27.0,0.0
15.7,26.2,0.0
17.4,30.0,0.0
17.5,27.7,0.0
14.0,24.9,3.0
17.8,27.0,0.0
17.2,30.1,0.0
20.2,32.7,0.0
17.5,30.7,0.2
16.1,31.7,0.0
17.9,32.7,0.0
21.4,34.1,0.0
18.2,30.5,0.0
17.7,28.8,0.0
16.8,29.2,0.0
19.7,24.5,0.0
17.1,27.6,0.0
13.3,13.9,0.0
14.0,17.9,0.0
15.5,24.2,0.0
17.1,21.1,0.6
16.4,16.6,6.4
15.1,17.4,19.8
8.4,17.4,0.0
9.2,17.2,0.0
8.8,18.2,0.0
11.2,18.1,0.0
13.1,16.5,0.0
8.7,21.2,0.0
9.5,22.5,0.0
9.1,13.7,2.6
5.2,17.6,0.0
8.2,20.5,0.0
12.9,20.8,0.0
14.9,19.5,0.0
13.8,17.8,0.0
14.3,18.6,0.0
14.0,22.2,0.0
12.7,22.4,0.0
11.5,23.7,0.0
10.7,19.1,2.0
12.4,17.9,5.2
12.3,20.4,0.0
12.6,18.8,0.0
12.0,20.4,0.0
14.0,19.1,0.0
13.6,15.2,0.0
13.5,15.6,0.0
10.6,19.8,0.0
12.5,17.7,0.0
12.6,18.1,0.0
9.2,17.6,0.0
10.1,20.6,0.0
7.9,20.2,0.2
14.4,16.6,0.0
7.1,8.8,7.2
6.3,13.2,0.2
5.3,13.9,0.0
10.5,12.4,0.0
8.7,15.9,0.0
7.4,16.2,0.0
6.2,15.4,0.0
7.7,18.5,0.0
12.5,15.4,0.0
12.4,16.5,0.0
6.7,16.9,0.0
7.6,20.7,0.0
8.4,20.9,0.0
13.5,17.2,0.0
12.1,18.8,0.0
7.9,18.6,0.0
8.5,17.8,0.0
6.8,17.7,0.0
10.0,15.2,1.8
11.3,7.3,1.0
7.9,13.3,0.8
3.5,16.7,0.0
3.8,16.2,0.0
8.0,16.6,0.0
5.9,13.8,0.0
5.3,14.5,0.0
6.5,13.9,0.0
6.2,17.2,0.0
7.0,17.9,3.8
8.9,17.7,5.2
6.2,16.3,0.0
5.5,17.3,0.2
5.6,17.4,0.0
4.7,18.2,0.0
4.6,13.9,0.0
9.9,15.5,0.0
12.1,13.6,0.8
11.5,13.3,3.8
10.3,14.8,0.0
9.6,16.2,0.0
4.9,14.5,0.0
7.9,13.0,0.0
12.1,14.5,0.0
10.3,11.6,6.2
12.9,13.7,4.8
11.2,14.7,0.2
8.8,11.1,0.6
6.5,11.0,0.0
9.0,13.8,0.0
9.5,16.0,0.0
9.4,14.9,0.0
4.0,15.0,0.0
8.4,14.8,0.0
9.7,11.3,4.8
4.2,12.1,0.6
8.8,12.5,0.0
5.5,12.3,0.0
4.3,11.7,0.0
7.8,11.3,0.0
7.0,11.5,0.0
6.7,12.7,0.0
2.1,14.5,0.0
6.5,14.6,0.0
9.7,12.9,0.0
6.9,11.1,2.0
10.6,12.3,0.2
3.0,11.1,0.0
5.9,10.2,0.0
4.7,12.6,0.0
3.7,13.6,0.0
6.3,8.6,0.8
5.5,7.4,16.8
1.8,8.0,0.0
6.0,6.9,0.0
5.5,7.1,1.6
0.8,9.9,0.2
2.8,10.7,0.0
6.7,15.9,0.0
3.9,13.3,0.0
2.7,12.1,0.2
1.3,11.0,0.0
7.7,8.2,0.0
6.0,10.7,1.2
2.4,8.7,0.2
7.6,11.2,19.2
3.4,11.0,0.0
3.6,10.1,0.0
3.7,10.8,0.0
1.4,12.3,0.0
1.2,10.9,0.2
1.0,7.8,0.0
5.6,9.6,1.4
6.5,11.2,0.0
2.7,11.5,0.0
3.0,12.8,0.0
9.6,8.6,1.0
6.9,10.5,6.6
7.8,11.6,0.0
2.6,9.1,0.0
5.5,7.2,0.0
8.9,13.6,4.0
3.8,5.7,0.0
7.6,11.3,1.2
5.6,8.1,0.0
3.3,5.1,0.4
4.7,8.3,0.4
7.0,8.6,0.0
6.5,10.4,0.0
6.2,9.5,0.0
9.2,12.0,0.0
8.7,13.5,0.0
4.5,10.8,0.0
1.4,11.2,0.0
0.1,12.2,0.0
7.9,12.4,0.0
8.6,13.2,0.0
6.9,10.7,0.0
6.7,11.1,0.0
5.2,14.0,0.0
5.3,12.8,0.0
4.8,15.8,0.0
7.9,14.4,0.0
7.2,12.3,0.0
7.3,14.6,0.0
6.2,15.4,0.0
13.5,12.6,4.0
8.8,14.3,7.4
9.0,14.9,0.0
9.3,11.1,0.0
8.3,10.2,0.2
8.7,10.8,0.0
10.0,15.7,0.0
6.4,15.5,0.0
7.2,15.3,1.0
5.5,13.4,0.0
6.3,14.9,0.0
6.0,16.3,0.0
11.9,21.5,0.0
17.5,25.1,0.0
16.7,18.2,9.8
15.6,18.5,1.6
7.1,12.2,3.4
7.4,13.7,0.0
7.0,17.8,0.0
16.4,22.4,0.0
18.3,21.3,0.0
14.5,18.3,0.0
15.9,21.0,0.0
8.0,14.3,17.4
10.7,16.5,0.0
11.0,18.1,0.0
15.4,20.0,0.0
15.9,24.7,0.0
20.4,23.0,0.0
14.9,16.0,0.0
9.8,16.3,0.0
11.3,19.5,0.0
19.0,26.7,0.0
22.5,28.4,0.0
14.5,19.3,7.6
11.7,19.8,3.0
12.8,16.2,0.0
6.9,14.6,8.2
7.2,16.6,0.0
8.1,18.8,0.0
10.0,21.4,0.0
13.6,20.6,0.0
12.6,22.3,0.0
16.3,23.2,0.0
14.5,19.4,13.2
11.6,18.4,0.6
9.6,19.2,0.0
11.6,21.9,0.0
12.7,23.7,0.0
16.8,27.4,0.0
16.4,26.3,0.2
11.4,18.5,0.0
8.3,14.3,0.8
9.1,16.3,0.0
9.4,19.1,0.0
12.0,24.8,0.0
16.3,25.9,0.0
20.4,30.0,0.0
17.2,28.2,0.0
14.5,18.3,0.0
15.8,25.9,0.0
23.8,28.6,0.0
